ENCODERREADING,PICK_ENCODERREADING,ANGLE,TORQUE,Message
0.613,0,3981.7,1.493,WX11D690N2R7
0.646,0,4127.8,1.495,WX11D690N92U
0.696,-0.002,4149.8,1.493,WX11D690N1H0
0.666,-0.001,4142.6,1.493,WX11D690NJL9
1.425,-0.002,4362.7,1.493,WX11D690NUYK
0.707,0,4218.7,1.495,WX11D690NFT8
0.761,-0.002,4278.3,1.494,WX11D690N3PJ
0.64,-0.005,4114.4,1.49,WX11D690NCZJ
1.008,-0.001,3964.4,1.496,WX11D690NK9N
0.66,-0.008,4149.3,1.496,WX11D690NA44
0.665,0,4120.2,1.492,WX11D690NUND
0.78,-0.001,4267.9,1.494,WX11D690NLTL
0.604,-0.002,4007.4,1.495,WX11D690NNPA
0.751,-0.004,4290,1.496,WX11D690NKZP
0.702,-0.002,4186.8,1.495,WX11D690NH6D
0.796,-0.002,4266.8,1.496,WX11D690N1RZ
0.619,-0.001,4027.3,1.496,WX11D690ND8N
0.775,0,4341.1,1.496,WX11D690NPC3
0.598,0,3985.6,1.495,WX11D690NVKJ
0.693,0,4146.6,1.496,WX11D690N6XY
0.674,-0.001,4195.1,1.493,WX21D696Z7CE
0.761,-0.002,4295.5,1.491,WX11D690N3DJ
0.608,-0.003,4023.4,1.493,WX11D690NDD6
0.602,-0.001,3996.4,1.493,WX11D690NN75
0.754,-0.001,4261.2,1.492,WX11D690ND4N
0.686,0,4142.9,1.493,WX11D690N0SY
0.718,-0.001,4171.3,1.495,WX11D690NKEZ
0.648,-0.001,4167.8,1.498,WX11D690NRP2
0.769,-0.002,4284.2,1.496,WX11D690NCEV
0.649,-0.002,4088.9,1.495,WX11D690NZRS
0.698,-0.001,4191,1.493,WX11D690NSY7
0.667,-0.001,4121.1,1.496,WX11D690NJ5X
0.705,0,4211.8,1.498,WX11D690NX6N
0.712,-0.003,4222.2,1.495,WX11D690N9KK
0.777,0,4329.5,1.493,WX11D690N3KV
0.717,-0.001,4258.5,1.493,WX11D690NAS2
0.655,0,4130.5,1.487,WX11D690N6NV
0.721,-0.003,4242,1.493,WX11D690NSYT
0.66,-0.001,4140.4,1.498,WX11D690NJ06
0.591,-0.009,4040.6,1.495,WX11D690N8X7
0.696,0,4198,1.493,WX11D690NESL
0.608,-0.001,4030.1,1.494,WX11D690NUS8
0.626,0,4087.3,1.494,WX11D690NERR
0.738,0,4292.4,1.494,WX11D690NHHD
0.642,-0.001,4094,1.492,WX11D690N2AZ
0.746,0,4252,1.496,WX11D690N5Z6
0,0,0,0,WX11D690NU6P
0.745,-0.002,4299.5,1.492,WX11D690NFRK
0.6,0,4003.6,1.493,WX11D690N6AC
0.717,0,4264.2,1.496,WX11D690NX1P
0.672,-0.001,4159.7,1.492,WX11D690N25E
0.734,-0.007,4243.9,1.499,WX11D690NJ6P
0.619,-0.001,4064,1.496,WX11D690NF69
0.767,0,4293.9,1.498,WX11D690NVHF
0.6,-0.002,4019,1.494,WX11D690NYN1
0.649,0,4181.8,1.495,WX11D690N9KC
0.581,0,4009.8,1.494,WX11D690N5CL
0.619,0,4046.5,1.496,WX11D690N7TU
0.634,0,4077.6,1.495,WX11D690NULZ
0.594,0,4036.6,1.492,WX11D690NX22
0.67,0,4176.3,1.495,WX11D690NPD6
0.741,0,4264.9,1.496,WX11D690NVV9
0.712,0,4266.5,1.496,WX11D690N393
